Full,Ra dec,_r,_RAJ2000,_DEJ2000,Plx,e_,Gmag,e_
,,arcsec,"""h:m:s""","""d:m:s""",mas,mas,mag,mag
1,15:41:57.22 -52:50:32.07,0.552,15 41 57.2048522136,-52 50 31.535436912,? ,? ,20.6631,0.0189
2,15:41:57.22 -52:50:32.07,0.847,15 41 57.3257077047,-52 50 32.069478336,-2.1978,0.3186,16.7248,0.0039
3,15:41:57.22 -52:50:32.07,1.518,15 41 57.3859329264,-52 50 31.859535732,? ,? ,18.4339,0.0058
1,15:41:42.81 -52:54:51.99,1.268,15 41 42.9450400774,-52 54 52.338965863,0.5067,0.022,13.4246,0.0002
1,15:41:53.66 -52:54:35.85,0.785,15 41 53.7448480136,-52 54 35.367495160,0.3613,0.0866,17.0611,0.0009
1,15:41:47.59 -52:52:32.49,1.303,15 41 47.7329685548,-52 52 32.862284999,0.4925,0.066,16.6306,0.0006
1,15:41:47.26 -52:51:01.07,0.764,15 41 47.3256961680,-52 51 01.549071144,? ,? ,17.5482,0.0022
2,15:41:47.26 -52:51:01.07,1.349,15 41 47.3955005620,-52 51 01.660371889,0.3465,0.1394,17.4425,0.0027
1,15:42:25.31 -52:44:02.14,0.776,15 42 25.3619432917,-52 44 02.686560743,0.5958,0.0735,11.598,0.0007
1,15:42:48.39 -52:53:27.65,1.396,15 42 48.5193101595,-52 53 28.381944311,0.9605,0.0918,17.0847,0.0009
1,15:41:44.99 -52:52:44.18,0.949,15 41 45.0913461007,-52 52 44.148288285,0.5727,0.0836,17.1739,0.0008
1,15:42:44.94 -52:53:44.89,0.995,15 42 45.0468712145,-52 53 45.433062855,2.2862,0.4919,16.6713,0.0022
1,15:41:38.55 -52:45:58.08,0.315,15 41 38.5756771655,-52 45 57.756691866,-1.541,0.63,17.1253,0.0067
1,15:41:55.70 -52:44:06.63,0.501,15 41 55.7658173563,-52 44 06.758518571,0.8167,0.0923,16.9897,0.0008
1,15:42:41.70 -52:44:23.83,1.218,15 42 41.8400800590,-52 44 23.622577579,0.3417,0.119,17.4275,0.0012
1,15:42:24.42 -52:51:16.19,0.457,15 42 24.4658781725,-52 51 15.957519524,0.3549,0.0763,16.7848,0.0008
1,15:41:59.19 -52:54:00.25,0.943,15 41 59.2935411923,-52 54 00.332013748,0.4081,0.0376,14.9169,0.0004
1,15:42:40.50 -52:49:57.12,1.111,15 42 40.6144390901,-52 49 57.572921838,0.687,0.0423,15.3689,0.0004
1,15:42:05.30 -52:49:19.92,1.183,15 42 05.4279526757,-52 49 20.233971906,0.4991,0.1332,17.9136,0.0013
1,15:42:28.07 -52:43:48.59,1.181,15 42 28.2179000319,-52 43 48.709217967,0.6052,0.1134,17.2965,0.0009
1,15:42:05.05 -52:51:28.56,0.678,15 42 05.1304721929,-52 51 28.308088037,0.2006,0.0889,16.2343,0.0007
1,15:42:49.95 -52:47:59.75,0.715,15 42 50.0315908178,-52 47 59.856430918,0.8829,0.0516,15.8203,0.0005
1,15:42:11.93 -52:54:23.57,0.822,15 42 11.9956124369,-52 54 24.140836766,1.036,0.4438,17.8482,0.0061
1,15:42:02.10 -52:46:47.63,0.991,15 42 02.2111946497,-52 46 47.385534795,-0.3412,0.2629,15.5775,0.001
1,15:42:44.06 -52:54:44.00,0.768,15 42 44.1298184783,-52 54 44.416102628,0.561,0.0785,16.124,0.0007
1,15:42:15.33 -52:54:29.35,1.004,15 42 15.4359663835,-52 54 29.814664910,0.5112,0.0959,17.3,0.0009
1,15:42:26.90 -52:46:43.71,1.032,15 42 27.0260047172,-52 46 43.749938287,0.4107,0.1327,17.6421,0.0011
2,15:42:26.90 -52:46:43.71,1.264,15 42 26.8110055896,-52 46 44.683071132,? ,? ,20.8549,0.0167
1,15:42:00.24 -52:49:39.16,0.97,15 42 00.3389500878,-52 49 39.515762952,0.5693,0.0529,16.1858,0.0006
2,15:42:00.24 -52:49:39.16,1.447,15 42 00.2658989614,-52 49 37.709578107,-0.898,0.5206,19.5969,0.0055
